target,hour_index,Time (UTC)
CF_Wind,456405,2022-01-24 21:00:00+00:00
CF_Wind,456406,2022-01-24 22:00:00+00:00
CF_Wind,456407,2022-01-24 23:00:00+00:00
n_targets,456407,2022-01-24 23:00:00+00:00
CF_Wind,456408,2022-01-25 00:00:00+00:00
n_targets,456408,2022-01-25 00:00:00+00:00
CF_Wind,456409,2022-01-25 01:00:00+00:00
n_targets,456409,2022-01-25 01:00:00+00:00
CF_Wind,456410,2022-01-25 02:00:00+00:00
n_targets,456410,2022-01-25 02:00:00+00:00
CF_Wind,456411,2022-01-25 03:00:00+00:00
n_targets,456411,2022-01-25 03:00:00+00:00
CF_Wind,456412,2022-01-25 04:00:00+00:00
n_targets,456412,2022-01-25 04:00:00+00:00
CF_Wind,456413,2022-01-25 05:00:00+00:00
CF_Wind,456414,2022-01-25 06:00:00+00:00
CF_Wind,456415,2022-01-25 07:00:00+00:00
Price,456415,2022-01-25 07:00:00+00:00
Price,456416,2022-01-25 08:00:00+00:00
Price,456417,2022-01-25 09:00:00+00:00
Load_MW,456418,2022-01-25 10:00:00+00:00
Price,456418,2022-01-25 10:00:00+00:00
Load_MW,456419,2022-01-25 11:00:00+00:00
Price,456419,2022-01-25 11:00:00+00:00
Price,456420,2022-01-25 12:00:00+00:00
Price,456421,2022-01-25 13:00:00+00:00
Price,456422,2022-01-25 14:00:00+00:00
Price,456423,2022-01-25 15:00:00+00:00
CF_Solar,456424,2022-01-25 16:00:00+00:00
Price,456424,2022-01-25 16:00:00+00:00
CF_Solar,456425,2022-01-25 17:00:00+00:00
Price,456425,2022-01-25 17:00:00+00:00
CF_Solar,456426,2022-01-25 18:00:00+00:00
Price,456426,2022-01-25 18:00:00+00:00
CF_Solar,456427,2022-01-25 19:00:00+00:00
Price,456427,2022-01-25 19:00:00+00:00
Price,456428,2022-01-25 20:00:00+00:00
Price,456429,2022-01-25 21:00:00+00:00
Price,456439,2022-01-26 07:00:00+00:00
n_targets,456439,2022-01-26 07:00:00+00:00
Price,456440,2022-01-26 08:00:00+00:00
Price,456441,2022-01-26 09:00:00+00:00
Price,456442,2022-01-26 10:00:00+00:00
Load_MW,456443,2022-01-26 11:00:00+00:00
Price,456443,2022-01-26 11:00:00+00:00
Load_MW,456444,2022-01-26 12:00:00+00:00
Price,456444,2022-01-26 12:00:00+00:00
Price,456445,2022-01-26 13:00:00+00:00
Price,456446,2022-01-26 14:00:00+00:00
Price,456447,2022-01-26 15:00:00+00:00
CF_Solar,456448,2022-01-26 16:00:00+00:00
Price,456448,2022-01-26 16:00:00+00:00
CF_Solar,456449,2022-01-26 17:00:00+00:00
Price,456449,2022-01-26 17:00:00+00:00
CF_Solar,456450,2022-01-26 18:00:00+00:00
Price,456450,2022-01-26 18:00:00+00:00
Price,456451,2022-01-26 19:00:00+00:00
Price,456465,2022-01-27 09:00:00+00:00
Load_MW,456466,2022-01-27 10:00:00+00:00
Price,456466,2022-01-27 10:00:00+00:00
Load_MW,456467,2022-01-27 11:00:00+00:00
Load_MW,456468,2022-01-27 12:00:00+00:00
Load_MW,456469,2022-01-27 13:00:00+00:00
n_targets,456469,2022-01-27 13:00:00+00:00
Load_MW,456470,2022-01-27 14:00:00+00:00
Load_MW,456471,2022-01-27 15:00:00+00:00
Load_MW,456472,2022-01-27 16:00:00+00:00
Price,456472,2022-01-27 16:00:00+00:00
CF_Solar,456473,2022-01-27 17:00:00+00:00
Price,456473,2022-01-27 17:00:00+00:00
CF_Solar,456474,2022-01-27 18:00:00+00:00
n_targets,456476,2022-01-27 20:00:00+00:00
CF_Wind,456477,2022-01-27 21:00:00+00:00
n_targets,456477,2022-01-27 21:00:00+00:00
CF_Solar,456487,2022-01-28 07:00:00+00:00
CF_Solar,456488,2022-01-28 08:00:00+00:00
CF_Wind,456490,2022-01-28 10:00:00+00:00
CF_Wind,456491,2022-01-28 11:00:00+00:00
CF_Wind,456492,2022-01-28 12:00:00+00:00
Load_MW,456492,2022-01-28 12:00:00+00:00
CF_Wind,456493,2022-01-28 13:00:00+00:00
Load_MW,456493,2022-01-28 13:00:00+00:00
CF_Wind,456494,2022-01-28 14:00:00+00:00
CF_Solar,456495,2022-01-28 15:00:00+00:00
CF_Wind,456495,2022-01-28 15:00:00+00:00
CF_Solar,456496,2022-01-28 16:00:00+00:00
CF_Wind,456496,2022-01-28 16:00:00+00:00
Price,456496,2022-01-28 16:00:00+00:00
CF_Solar,456497,2022-01-28 17:00:00+00:00
CF_Wind,456497,2022-01-28 17:00:00+00:00
Price,456497,2022-01-28 17:00:00+00:00
CF_Solar,456498,2022-01-28 18:00:00+00:00
CF_Wind,456498,2022-01-28 18:00:00+00:00
Price,456498,2022-01-28 18:00:00+00:00
CF_Solar,456499,2022-01-28 19:00:00+00:00
CF_Wind,456499,2022-01-28 19:00:00+00:00
Price,456499,2022-01-28 19:00:00+00:00
CF_Solar,456500,2022-01-28 20:00:00+00:00
CF_Wind,456500,2022-01-28 20:00:00+00:00
CF_Solar,456501,2022-01-28 21:00:00+00:00
CF_Wind,456501,2022-01-28 21:00:00+00:00
CF_Wind,456502,2022-01-28 22:00:00+00:00
CF_Wind,456503,2022-01-28 23:00:00+00:00
CF_Wind,456504,2022-01-29 00:00:00+00:00
n_targets,456504,2022-01-29 00:00:00+00:00
CF_Wind,456505,2022-01-29 01:00:00+00:00
n_targets,456505,2022-01-29 01:00:00+00:00
Load_MW,456515,2022-01-29 11:00:00+00:00
CF_Solar,456516,2022-01-29 12:00:00+00:00
CF_Solar,456517,2022-01-29 13:00:00+00:00
CF_Solar,456518,2022-01-29 14:00:00+00:00
n_targets,456518,2022-01-29 14:00:00+00:00
Load_MW,456532,2022-01-30 04:00:00+00:00
n_targets,456532,2022-01-30 04:00:00+00:00
CF_Solar,456544,2022-01-30 16:00:00+00:00
n_targets,456544,2022-01-30 16:00:00+00:00
CF_Solar,456545,2022-01-30 17:00:00+00:00
CF_Solar,456546,2022-01-30 18:00:00+00:00
CF_Solar,456547,2022-01-30 19:00:00+00:00
CF_Wind,456547,2022-01-30 19:00:00+00:00
CF_Solar,456548,2022-01-30 20:00:00+00:00
CF_Wind,456548,2022-01-30 20:00:00+00:00
CF_Solar,456549,2022-01-30 21:00:00+00:00
CF_Wind,456549,2022-01-30 21:00:00+00:00
CF_Solar,456550,2022-01-30 22:00:00+00:00
CF_Wind,456550,2022-01-30 22:00:00+00:00
CF_Solar,456551,2022-01-30 23:00:00+00:00
CF_Solar,456552,2022-01-31 00:00:00+00:00
CF_Solar,456553,2022-01-31 01:00:00+00:00
n_targets,456553,2022-01-31 01:00:00+00:00
CF_Solar,456554,2022-01-31 02:00:00+00:00
n_targets,456554,2022-01-31 02:00:00+00:00
Price,456560,2022-01-31 08:00:00+00:00
CF_Solar,456561,2022-01-31 09:00:00+00:00
Price,456561,2022-01-31 09:00:00+00:00
